athlete,country
Joel SUTY,France
Philippe VATUONE,France
Antonio Telesforo PINEDA,Mexico
Andrew MORRIS,Great Britain
Miguel SOLER ESCUDERO,Spain
Vittorio ALLIEVI,Italy
Chung-Sik HAN,Republic of Korea
Jeoung-Sik LEE,Republic of Korea
Daniel WUNDERLIN,Switzerland
Rocco AMBONI,Italy
Werner BIRNBAUM,Australia
Diego LAZZARICH,Italy
Daniel GAUDET,Canada
Keith LANGLEY,Great Britain
Antonio FRAGUAS CASTANY,Spain
Terence BARTLETT,Great Britain
Qiu-Rui ZHOU,China
Lavinia AGACHE,Romania
Tracee Ann TALAVERA,United States of America
Kelly BROWN,Canada
Birgitta LEHMANN,Federal Republic of Germany
Kyoji YAMAWAKI,Japan
Shinji MORISUE,Japan
Timothy Patrick DAGGETT,United States of America
Marco PIATTI,Switzerland
James N. HARTUNG,United States of America
Koji SOTOMURA,Japan
Mihaela STANULET,Romania
Benno GROSS,Federal Republic of Germany
Bradley Alan LEWIS,United States of America
Paul N. ENQUIST,United States of America
Pierre Marie DELOOF,Belgium
Dirk CROIS,Belgium
Zoran PANCIC,Yugoslavia
Milorad STANULOV,Yugoslavia
Andreas SCHMELZ,Federal Republic of Germany
Georg AGRIKOLA,Federal Republic of Germany
Francesco ESPOSITO,Italy
Ruggero VERROCA,Italy
Timothy STORM,Canada
Peter MAC GOWAN,Canada
Wilfried AUERBACH,Austria
Thomas LINEMAYR,Austria
Armando CHAVEZ,Mexico
Alf John HANSEN,Norway
Rolf Bernt THORSEN,Norway
Alf John HANSEN,Switzerland
Rolf Bernt THORSEN,Switzerland
Arthur Robert MILLS,Canada
John Robinson BIGLOW,United States of America
Ricardo Daniel IBARRA,Argentina
Konstantinos KONTOMANOLIS,Greece
Gary REID,New Zealand
Raimund HABERL,Austria
Bengt NILSSON,Sweden
Juan FELIX,Puerto Rico
Jose Ramon OYARZABAL URANGA,Spain
Denis GATE,France
Greet HELLEMANS,Netherlands
Nicolette HELLEMANS,Netherlands
Daniele LAUMANN,Canada
Marie CARLSSON,Sweden
Haldis LENES,Norway
Solfrid JOHANSEN,Norway
Julia Hand GEER,United States of America
Ingeborg NIEDERMAYER,Austria
Vera SOMMERBAUER,Austria
Nonie RAY,Great Britain
Sarah BLOOMFIELD,Great Britain
Valeria ROSCA-RASILA,Romania
Charlotte Mosher GEER,United States of America
Andrea SCHREINER,Canada
Lise JUSTESEN,Denmark
Beryl MITCHELL,Great Britain
Stephanie FOSTER,New Zealand
Jos COMPAAN,Netherlands
Astrid UNGER,Austria
Fernanda DE LA FUENTE,Mexico
Lisa SCHEIBERT,Norway
Elena OPREA-HORVAT,Romania
Elizabeth CRAIG,Canada
Patricia SMITH,Canada
Ellen BECKER,Federal Republic of Germany
Iris VOLKNER,Federal Republic of Germany
Lynda CORNET,Netherlands
Charlene TOWNE,United States of America
Katherine Ruth PANTER,Great Britain
Ruth HOWE,Great Britain
Petru IOSUB,Romania
Valer TOMA,Romania
Fernando CLIMENT HUERTA,Spain
Luis Maria LASURTEGUI BERRIDI,Spain
Hans Magnus GREPPERUD,Norway
Sverre Bertrand LOKEN,Norway
Thomas MÖLLENKAMP,Federal Republic of Germany
Axel WOSTMANN,Federal Republic of Germany
Marco ROMANO,Italy
Pasquale AIESE,Italy
David Alan DE RUFF,United States of America
"John Mantz, III STROTBECK",United States of America
Sjoerd HOEKSTRA,Netherlands
Joost ADEMA,Netherlands
Geoffrey HORAN,New Zealand
Allan HORAN,New Zealand
Markus WECHSLER,Switzerland
Alfred FISCHER,Switzerland
John BEATTIE,Great Britain
Richard STANHOPE,Great Britain
Alonzo C. BABERS,United States of America
Gabriel TIACOH,Ivory Coast
Antonio Ricardo MCKAY,United States of America
Sunder L. NIX,United States of America
Sunday UTI,Nigeria
Philip John VESTY,Great Britain
Gerard LE LIEVRE,France
Willi SAWALL,Australia
Marcelino COLIN,Mexico
Marcel JOBIN,Canada
Chand RAM,India
Steven John BARRY,Great Britain
Fu-Xin ZHANG,China
Alessandro PEZZATINI,Italy
Martin TOPOREK,Austria
Benamar KECHKOUCHE,Algeria
Pius MUNYASIA,Kenya
Jose Victor ALONZO ALONZO,Guatemala
Stefano CASALI,San Marino
Osvaldo MOREJON,Bolivia
Luis CAMPOS,El Salvador
Amjad TAWALBEH,Jordan
Dominique GUEBEY,France
Lars Ove MOEN,Norway
Arto HARKONEN,Finland
Kenth ELDEBRINK,Sweden
Wolfram GAMBKE,Federal Republic of Germany
Masami YOSHIDA,Japan
Einar VILHJALMSSON,Iceland
Arne Roald BRADSTOCK,Great Britain
Laslo BABITS,Canada
Per Erling OLSEN,Norway
Thomas Alan PETRANOFF,United States of America
Duncan Fuller ATWOOD,United States of America
Jean Paul LAKAFIA,France
Markus RYFFEL,Switzerland
Antonio LEITAO,Portugal
Timothy HUTCHINGS,Great Britain
Paul KIPKOECH,Kenya
Charles CHERUIYOT,Kenya
Douglas Floyd PADILLA,United States of America
John WALKER,New Zealand
Ezequiel CANARIO,Portugal
Wilson WAIGWA,Kenya
Raymond FLYNN,Ireland
Mats ERIXON,Sweden
Eamonn Thomas MARTIN,Great Britain
David MOORCROFT,Great Britain
Gregory DUHAIME,Canada
John Gates POWELL,United States of America
Arthur Leon BURNS,United States of America
Alwin WAGNER,Federal Republic of Germany
Stefan FERNHOLM,Sweden
Robert B. WEIR,Great Britain
Konstantinos GEORGAKOPOULOS,Greece
Alice Regina BROWN,United States of America
Jeanette BOLDEN,United States of America
Angela BAILEY,Canada
Heather HUNTE-OAKES,Great Britain
Angella TAYLOR-ISSAJENKO,Canada
David Lester LAUT,United States of America
Augustus Louis WOLF,United States of America
Marco MONTELATICI,Italy
Aulis AKONNIEMI,Finland
Bishop DOLEGIEWICZ,Canada
Karsten STOLZ,Federal Republic of Germany
Julius KORIR,Kenya
Joseph MAHMOUD,France
Colin REITZ,Great Britain
Domingo RAMON MENARGUES,Spain
Pascal DEBACKER,France
Tommy EKBLOM,Finland
Roger HACKNEY,Great Britain
Peter RENNER,New Zealand
Fethi BACCOUCHE,Tunisia
Filbert BAYI,United Republic of Tanzania
Gregory FOSTER,United States of America
Arto BRYGGARE,Finland
Carlos SALA MOLERA,Spain
Jeffrey GLASS,Canada
Pierre QUINON,France
Michael Scott TULLY,United States of America
Kimmo PALLONEN,Finland
Douglas Paul LYTLE,United States of America
Felix BOHNI,Switzerland
Mauro BARELLA,Italy
Wei-Min YANG,China
Jeffrey GUTTERIDGE,Great Britain
Chandra Danette CHEESEBOROUGH,United States of America
Kathryn SMALLWOOD-COOK,Great Britain
Marita PAYNE-WIGGINS,Canada
Lillie Mae LEATHERWOOD-KING,United States of America
Ute THIMM-FINGER,Federal Republic of Germany
Charmaine CROOKS,Canada
Ruth WAITHERA,Kenya
Yu-Huang LIU,China
Joseph WELLS,Bahamas
Junichi USUI,Japan
Jong-Il KIM,Republic of Korea
Yusuf ALLI,Nigeria
Michael Keith MCRAE,United States of America
Jubobosaye KIO,Nigeria
Ronald DESRUELLES,Belgium
Francis DODOO,Ghana
Paul EMORDI,Nigeria
Joan BENOIT,United States of America
Ingrid KRISTIANSEN-CHRISTENSEN,Norway
Priscilla WELCH,Great Britain
Sylvia RUEGGER,Canada
Joyce Esther SMITH,Great Britain
Alba MILANA,Italy
Dorthe Skovshoved RASMUSSEN,Denmark
Sarah Louise ROWELL,Great Britain
Charlotte TESKE-BERNHARDT,Federal Republic of Germany
Annemarie MALONE,Canada
Marie-Louise HAMRIN,Sweden
Nanae SASAKI,Japan
Paola MORO,Italy
Ria VAN LANDEGHEM,Belgium
Regina JOYCE,Ireland
Marie Christine DEURBROECK,Belgium
Maria TRUJILLO,Mexico
Carey MAY,Ireland
Francine PEETERS,Belgium
Zehava SHMUELI,Israel
Lai-Chu NG,Hong Kong
Monica REGONESI,Chile
Naydi NAZARIO,Puerto Rico
Yuko GORDON,Hong Kong
Julie Ann BROWN,United States of America
Rita BORRALHO,Portugal
Maria CARDENAS,Mexico
Nelly WRIGHT,Bolivia
Mary WAGAKI,Kenya
Eleonora COSTA SOARES DE MENDONCA,Brazil
Ifeoma MBANUGO,Nigeria
Jacqueline GAREAU,Canada
Leda DIAZ DE CANO,Honduras
Mary Julie ISPHORDING,United States of America
Akemi MASUDA,Japan
Sebastian COE,Great Britain
Earl JONES,United States of America
William KONCHELLAH,Kenya
Edwin KOECH,Kenya
Steve OVETT,Great Britain
Manuel RAMIREZ CAICEDO,Colombia
Juha TIAINEN,Finland
Karl-Hans RIEHM,Federal Republic of Germany
Klaus PLOGHAUS,Federal Republic of Germany
Orlando BIANCHINI,Italy
William Earnest GREEN,United States of America
Walter CIOFANI,France
Martin GIRVAN,Great Britain
Mihaela LOGHIN,Romania
Gael MULHALL-MARTIN,Australia
Venissa HEAD,Great Britain
Florenta TACU-CRAICIUNESCU,Romania
Lorna Joann GRIFFIN,United States of America
Yan-Qin YANG,China
Carmen IONESCO,Canada
Odette MISTOUL,Gabon
Fita LOVIN,Romania
Gabriella DORIO,Italy
Lorraine BAKER,Great Britain
Ruth Kleinsasser WYSOCKI,United States of America
Margit KLINGER,Federal Republic of Germany
Kirk BAPTISTE,United States of America
Thomas Theodore JEFFERSON,United States of America
Joao Batista DA SILVA,Brazil
Ralf LUBKE,Federal Republic of Germany
Jean Jacques BOUSSEMART,France
Pietro MENNEA,Italy
Adeoye O. MAFE,Great Britain
Kgosiemang KHUMOYARANO,Botswana
Allan WELLS,Great Britain
Christian HAAS,Federal Republic of Germany
Hasely CRAWFORD,Trinidad and Tobago
Carlos LOPES,Portugal
Takeshi SO,Japan
Joseph NZAU,Kenya
Djama ROBLEH,Djibouti
Jeremy KIERNAN,Ireland
Rodney DIXON,New Zealand
Robin Evan Hugh JONES,Great Britain
Alberto Bauday SALAZAR,United States of America
Shigeru SO,Japan
Gidemas SHAHANGA,United Republic of Tanzania
Eloi SCHLEDER,Brazil
Karel LISMONT,Belgium
Allan ZACKARIASEN,Denmark
Pertti TIAINEN,Finland
Armand PARMENTIER,Belgium
Cesar MERCADO,Puerto Rico
Oyvind DAHL,Norway
Hong-Yul LEE,Republic of Korea
Cor VRIEND,Netherlands
Johan GEIRNAERT,Belgium
Jacques BOXBERGER,France
Marco MARCHEI,Italy
Hong-Nak CHAE,Republic of Korea
Joseph MAISIBA-OTIENO,Kenya
Claudio CABAN,Puerto Rico
Marc AGOSTA,Luxembourg
Wilson THELESO,Botswana
Alejandro SILVA,Chile
Chang-Ming CHEN,Chinese Taipei
Won-Sick KIM,Republic of Korea
Ruben AGUILAR,Argentina
Shemtov SABAG,Israel
Vincent RAKABAELE,Lesotho
Marios KASSIANIDIS,Cyprus
Arjun PANDIT,Nepal
Alain BORDELEAU,Canada
Patrick NYAMBARIRO-NHAURO,Zimbabwe
Kimurgor NGENY,Kenya
Amira Prasad YADAV,Nepal
Carlos AVILA,Honduras
Jules RANDRIANARIVELO,Madagascar
Johnson MBANGIWA,Botswana
Leonardo ILLUT,Philippines
Matthews KAMBALE,Malawi
Domingo TIBADUIZA REYES,Colombia
Mehmet YURDADON,Turkey
Tommy PERSSON,Sweden
Cidalio CAETANO,Portugal
John B. TUTTLE,United States of America
Wilson ACHIA,Uganda
Gerhard HARTMANN,Austria
Cornelis LAMBREGTS,Netherlands
Tommy LAZARUS,Zimbabwe
Cuevas Santiago DE LA PARTE DE LAS,Spain
Kjell-Erik STAHL,Sweden
Rodolfo GOMEZ,Mexico
Geoffrey SMITH,Great Britain
Stig Roar HUSEBY,Norway
Delfim MOREIRA,Portugal
Miguel Angel CRUZ,Mexico
Filippos FILIPPOU,Cyprus
Martti VAINIO,Finland
Alberto COVA,Italy
Michael MCLEOD,Great Britain
Michael MUSYOKI,Kenya
Christoph HERLE,Federal Republic of Germany
Sosthenes BITOK,Kenya
Yutaka KANAI,Japan
Steven JONES,Great Britain
Nicholas ROSE,Great Britain
Kristiina LILLAK,Finland
Tuula LAAKSALO,Finland
Beate PETERS,Federal Republic of Germany
Karin Kiefer SMITH,United States of America
Sharon Angela GIBSON,Great Britain
Catherine Ann SULINSKI,United States of America
Helena LAINE,Finland
Petra RIVERS,Australia
Roland NILSSON,Sweden
Bengt SIMONSEN,Sweden
Ulrike MEYFARTH,Federal Republic of Germany
Sara SIMEONI,Italy
Johanna Luann HUNTLEY,United States of America
Deborah BRILL,Canada
Vanessa BROWNE,Australia
Da-Zhen ZHENG,China
Wen-Qin YANG,China
Heike HENKEL,Federal Republic of Germany
Brigitte HOLZAPFEL,Federal Republic of Germany
Niculina VASILE,Romania
Pamela Ann SPENCER,United States of America
Benita FITZGERALD-BROWN,United States of America
Shirley STRONG,Great Britain
Michele CHARDONNET,France
Kim TURNER,United States of America
Glyniss Leanne NUNN-SAUNDERS-CEARNS,Australia
Marie-Noelle SAVIGNY,France
Ulrike DENK,Federal Republic of Germany
Esmeralda DE JESUS FREITAS GARCIA,Brazil
Christa SCHUMANN LOTTMAN,Guatemala
Randy Jenelle GIVENS,United States of America
Rose-Aimee BACOUL,France
Liliane GASCHET,France
Deborah WELLS,Australia
Felicia CANDELARIO,Dominican Republic
Mercy ADDY,Ghana
Grace Anne DINKINS,Liberia
Eugenia OSHO-WILLIAMS,Sierra Leone
Gillian FORDE,Trinidad and Tobago
Maricica PUICA,Romania
Roswitha GERDES,Federal Republic of Germany
Christine Mary BENNING,Great Britain
Brit MCROBERTS,Canada
Lynne MACDOUGALL,Great Britain
Ria G. STALMAN,Netherlands
Leslie Jean DENIZ,United States of America
Ulla LUNDHOLM,Finland
Margaret RITCHIE,Great Britain
Ingra MANECKE,Federal Republic of Germany
Patricia WALSH,Ireland
Laura Denise DE SNOO,United States of America
Yun-Xiang JIAO,China
Birgit DRESSEL,Federal Republic of Germany
Kristine TANNANDER,Sweden
Florence PICAUT,France
Annette TANNANDER,Sweden
Jill ROSS-GIFFEN,Canada
Constance POLMAN-TUIN,Canada
Donna SMELLIE,Canada
Li-Jiau TSAI,Chinese Taipei
Judith ANDERSON,United States of America
Siegfried WENTZ,Federal Republic of Germany
Guido KRATSCHMER,Federal Republic of Germany
John Harrison CRIST,United States of America
James Dale WOODING,United States of America
Michele RÜFENACHT,Switzerland
Bradley MCSTRAVICK,Great Britain
Patrick VETTERLI,Switzerland
Peter HADFIELD,Australia
Kang-Qiang WENG,China
Trond SKRAMSTAD,Norway
Douglas FERNANDEZ,Venezuela
Colin Aubrey Geddes BOREHAM,Great Britain
Claudio ESCAURIZA,Paraguay
Angel DIAZ GRANILLO,Guatemala
Vivian CORALIE,Mauritius
Daniel Lee HARRIS,United States of America
Tranel W. HAWKINS,United States of America
Michel ZIMMERMAN,Belgium
Henry AMIKE,Nigeria
Alphonse MANDONDA,Congo
Keith CONNOR,Great Britain
Zhen-Xian ZOU,China
Peter BOUSCHEN,Federal Republic of Germany
Ajayi AGBEBAKU,Nigeria
Eric Lloyd MCCALLA,Great Britain
John A. HERBERT,Great Britain
Mamadou DIALLO,Senegal
Nawal EL MOUTAWAKEL,Morocco
Judith Lynne BROWN,United States of America
Cristina COJOCARU,Romania
Ann-Louise SKOGLUND,Sweden
Tuija HELANDER,Finland
Sandra FARMER-PATRICK,Jamaica
Cynthia Mae BREMSER,United States of America
Zola BUDD,Great Britain
Joan Elizabeth HANSEN,United States of America
Dianne ZORN-RODGER,New Zealand
Agnese POSSAMAI,Italy
Helen RITTER,Liechtenstein
Jose Manuel ABASCAL GOMEZ,Spain
Peter WIRZ,Switzerland
Andres VERA LLORENS,Spain
Anthony ROGERS,New Zealand
Riccardo MATERAZZI,Italy
Francisco FIGUEREDO,Paraguay
Charles OLIVER,Solomon Islands
William WUYCKE,Venezuela
Dragan ZDRAVKOVIC,Yugoslavia
Jian-Hua ZHU,China
Dwight Edwin STONES,United States of America
Douglas NORDQUIST,United States of America
Milton OTTEY,Canada
Yun-Peng LIU,China
Shu CAI,China
Erkki NIEMI,Finland
Samuel Louis GRADDY,United States of America
Ronald James BROWN,United States of America
Donovan REID,Great Britain
Anthony SHARPE,Canada
Emmanuel BITANGA,Cameroon
Susan HEARNSHAW,Great Britain
Angela Elizabeth THACKER,United States of America
Shonell FERGUSON,Bahamas
Carol Legrant LEWIS,United States of America
Dorothy SCOTT,Jamaica
Linda GARDEN,Australia
Snezana DANCETOVIC,Yugoslavia
Johannes PIERIK,Netherlands
Anders BERGLIND,Sweden
Norbert HOFMANN,Federal Republic of Germany
Wallace SYKES,Great Britain
Chang-Fu ZHU,China
Juan AVALOS CARVALLO,Spain
Mikio ITAKURA,Japan
Petros KYRITSIS,Cyprus
Housham MOUSTAFFA,Egypt
Nikolaus SZAPARY,Austria
Bror NYSTROM,Finland
Francisco PEREZ JIMENEZ,Spain
Paul BENTLEY,Great Britain
Alexander CRIKIS,Australia
Martin BURKERT,Austria
Elie PENOT,France
Christian EK,Sweden
Dong-Gi LIM,Republic of Korea
Carlos ZARZAR,Chile
Young-Jin KIM,Republic of Korea
Juha MAKELA,Finland
Mohammad Khaldoun RAGHEB,Syrian Arab Republic
Michael E. THOMPSON,United States of America
Panayotis XANTHAKOS,Greece
Eigen HAYASHI,Japan
Albert THOMPSON,Ireland
Ching-Sung YANG,Chinese Taipei
Rodolfos ALEXAKOS,Greece
Angel GUZMAN,Mexico
Daniel BELLI,Canada
Carlos MAZO,Colombia
Khayri AMAR,Jordan
Omer Gunes YUNUS,Turkey
Sun-Man CHOW,Hong Kong
Eric LOMBARD,Belgium
Elias HARB,Lebanon
Gebrael HAOUI,Lebanon
Mario Oscar ZACHRISSON,Guatemala
Vicente BERGUES,Paraguay
Gerard BERNE,US Virgin Islands
Mauricio KATTAN,Bolivia
Sandhu HARISIMRAN SINGH,India
Anthony CHUANG,Hong Kong
Ricardo TELLECHEA,Paraguay
Pichit BURAPAVONG,Thailand
Linda THOM,Canada
Patricia DENCH,Australia
Debora SROUR,Brazil
Maria MACOVEI,Romania
Yang-Ja MOON,Republic of Korea
Hae-Young KIM,Republic of Korea
Elena MACOVEI,Romania
Lely SAMPURNO,Indonesia
Loredana ZUGNA,Italy
Angsuman JOTIKASTHIRA,Thailand
Waltraud WEISSENBERG-WIELAND,Federal Republic of Germany
Elvira SALAZAR,Colombia
Brida BELLARELLI,Switzerland
Keiko HIRAKAWA,Japan
Theres MANSER,Switzerland
Atsuko SUGIMOTO,Japan
Adrienne BENNETT,Great Britain
Monica PATRON,Mexico
Maria Luisa PENA,Spain
Xiao-Xuan WU,China
Ulrike HOLMER,Federal Republic of Germany
Gloria PARMENTIER,United States of America
Anne-Grethe JEPPESEN,Norway
Dong-Xiang JIN,China
Biserka VRBEK,Yugoslavia
Mirjana JOVOVIC-HORVAT,Yugoslavia
Christina GUSTAFSSON,Sweden
Sigrid LANG,Federal Republic of Germany
Margareta GUSTAFSSON,Sweden
Karin BAUER,Austria
Yvette COURAULT,France
Irene DAW,Great Britain
Sylvia MUEHLBERG,Australia
Gladys SEMINARIO,Peru
Takeo KAMACHI,Japan
Rauno BIES,Finland
Alfred RADKE,Federal Republic of Germany
Jong-Gil PARK,Republic of Korea
Viktor ENGEL,Federal Republic of Germany
Gerhard PETRITSCH,Austria
Roberto VANNOZZI,Italy
Aldo ANDREOTTI,Italy
Xue-An DU,China
Opas RUENGPANYAWOODHI,Thailand
Marin STAN,Romania
Pedro GARCIA MIRO JR.,Peru
Allyn JOHNSON,United States of America
Francisco NETO,Portugal
Refaat KAIF,Egypt
Hiroyuki AKATSUKA,Japan
John Patrick COOKE,Great Britain
Graham HARVEY,Great Britain
Mario SANCHEZ,Mexico
Eduardo JIMENEZ MEANA,Spain
Giorgio PAOLINI,San Marino
Leopoldo R. FOSSATI,Argentina
Rajinder Kumar VIJ,India
Mohinder LAL,India
Bruno MORRI,San Marino
Ove GUNNARSSON,Sweden
Kui-Nang LEE,Hong Kong
Jules SOBRIAN,Canada
Peera PIROMRATNA,Thailand
Emad EL GAINDI,Egypt
Said AL-KARBI,Qatar
Said Mubarak Marhoon AL-KHATRY,Oman
Abdullah Salim Saif AL-HUSSINI,Oman
Chung-Kin HO,Hong Kong
William WILKA,Paraguay
Eid FAYROZE,Qatar
Amadou SOW,Senegal
Ronald DUNN,Ecuador
Alfredo COELLO,Paraguay
Edward ETZEL,United States of America
Michael SULLIVAN,Great Britain
Francesco NANNI,San Marino
Hans STRAND,Sweden
John DUUS,Norway
Victor GARCES,Mexico
Elio GNAGNARELLI,Italy
Ueli SARBACH,Switzerland
Donald DURBIN,United States of America
Mauri ROPPANEN,Finland
Hiroyuki NAKAIO,Japan
Constantin STAN,Romania
Yair DAVIDOVITZ,Israel
Ignatios PSYLAKIS,Greece
Manuel HAWAYEK,Puerto Rico
Gilbert HOEF,Belgium
Werner SEIBOLD,Federal Republic of Germany
Jacob ACHILLES,Netherlands
Luis DEL CERRO FORN,Spain
Roger JANSSON,Sweden
Mikko MATTILA,Finland
Jose MEDINA,Philippines
Udomsak THIANTHONG,Thailand
Robert ZEDWANE,Canada
Norito CHOSA,Japan
Durval Ferreira FERREIRA GUIMARAES,Brazil
Justo MORENO,Peru
Anton MÜLLER,Switzerland
Bhagirath SAMAI,India
Ali Hamed AL AWASA,Jordan
Waldemar CAPUCCI,Brazil
Theobald SCHURTE,Liechtenstein
Attif SOUDI,Egypt
Tanin THAISINLP,Thailand
Mohamed AL SHUSHE,Jordan
Pier Paolo TADDEI,San Marino
Mohamed Amin FIKRY,Egypt
Joseph CHAN,Papua New Guinea
Raimond SELE,Liechtenstein
Zaher Salim AL-JAMUDI,Oman
Dennis Roscoe HARDMAN,Zimbabwe
Pierre BOISSON,Monaco
Jurgen HARTMANN,Federal Republic of Germany
Hector DE LIMA CARRILLA,Venezuela
Paavo PALOKANGAS,Finland
Vinzenz SCHWEIGHOFER,Austria
In-Tek SEO,Republic of Korea
Thomas GUINN,Canada
Chikafumi HIRAI,Japan
Ernesto A. ALAIS,Argentina
Walter A. BAUZA,Argentina
Gerhard BEYER,Federal Republic of Germany
Galo MINO,Ecuador
Silvio CARVALHO,Brazil
Arthur SPENCER,Great Britain
Shigetoshi TASHIRO,Japan
Baljit SINGH KHARAB,India
Seung-Rin PARK,Republic of Korea
Somchai THONGSAK,Thailand
Sabiamad ABD-AHAD,Malaysia
Gary ARAMIST,Israel
Luis ORTIZ,Colombia
Herbert BINDER,Switzerland
Edgar ESPINOZA,Venezuela
Paul MARGRAFF,Ecuador
William HENDERSON,US Virgin Islands
Rolf LOFSTAD,Norway
Geoffrey ROBINSON,Great Britain
Jean-Pierre GASPAROTTI,Monaco
Joel NIGIONO,Monaco
Germano BOLLINI,San Marino
Gian Franco GIARDI,San Marino
Thierno Ciro BAAL,Senegal
Nirundon LEPANANON,Thailand
Roland SCOTT,US Virgin Islands
Karen Patricia SPURGIN,United States of America
Edith GUFLER,Italy
Gisela SAILER,Federal Republic of Germany
Ren-Qing LIU,China
Françoise DECHARNE,France
Gudrun SINNHUBER,Austria
Valentina ATANASKOVSKI,Yugoslavia
Mary Anne SCHWEITZER,United States of America
Jeong-Hwa LEE,Republic of Korea
Alejandra HOYOS,Colombia
Gloria LOPEZ,Colombia
Siriwan BHUDVANBHEN,Thailand
Elizabeth BOURLAND,Costa Rica
Kanokwan KRITTAKOM,Thailand
Philippe HEBERLE,France
Andreas KRONTHALER,Austria
Barry Edward DAGGER,Great Britain
Peter HEINZ,Federal Republic of Germany
John ROST,United States of America
Bernhard SUB,Federal Republic of Germany
Ove SJOGREN,Sweden
Sacir DZEKO,Yugoslavia
Niels Peder Holm PEDERSEN,Denmark
Robert CHEYNE,Canada
Christian HELLER,Sweden
Jose Maria PIGRAU SANTPERE,Spain
Gerhard KRIMBACHER,Austria
Dae-Won PARK,Republic of Korea
Pelopdias ILIADIS,Greece
Herbert MEMELINK,Netherlands
Jian-Sheng HUA,China
Kamal El Din SHEMAIS,Egypt
German CARRASQUILLA,Colombia
Manop LEEPRASANSAKUL,Thailand
Paulo PIMENTA,Brazil
Pasquale RASCHI,San Marino
Roger CARTIN,Costa Rica
Helmut BELLINGRODT,Colombia
Uwe SCHRÖDER,Federal Republic of Germany
Kenneth SKOGLUND,Norway
Jorma LIEVONEN,Finland
Ezio CINI,Italy
Randolph W. STEWART,United States of America
Horst BELLINGRODT,Colombia
Erland JOHANSSON,Sweden
Giovanni MEZZANI,Italy
Vargas Arturo IGLESIAS VARGAS,Guatemala
Anthony CLARKE,New Zealand
Marc BEDLINGTON,Canada
David ABIBSSIRA,France
Michael MEGGISON,Great Britain
Rangsit YANOTHAI,Thailand
Michel CARREGA,France
Eli ELLIS,Australia
Terence RUMBEL,Australia
Marcos Jose OLSEN,Brazil
Motoharu HIRANO,Japan
Ludwig PUSER,Austria
Patrick BAWTINHEIMER,Canada
Peter CROFT,Great Britain
Diego GARCIA,Mexico
Ricardo SANCHO NAVARRO,Spain
Pablo VERGARA,Chile
Jean AME,France
Clive CONOLLY,Zimbabwe
Walter ZOBELL,United States of America
Diego ARCAY LLANOS,Venezuela
Peter BLECHER,Federal Republic of Germany
Jose FARIA,Portugal
Luciano SANTOKINI,San Marino
Gilbert DUCHATEAU,Belgium
Singh SINGH,India
Etienne VIVIER,Belgium
Guillermo CATELLANOS,Mexico
Jeong-Yong CHOI,Republic of Korea
Leonel MARTINEZ,Venezuela
Mohsen EL SAYED,Egypt
Dumrong PACHONYUT,Thailand
Anastasios LORDOS,Cyprus
Raul ABATTE,Chile
Elio GASPERONI,San Marino
Michael GAUCI,Malta
Francis CHETCUTI,Malta
Jean GEMAYEL,Lebanon
Roy MAGOWAN,Ireland
Michael CARR-HARTLEY,Kenya
Gustavo GARCIA,Colombia
Victor Hugo CAMPOS,Bolivia
Alonso MORALES,Colombia
Elia NASRALLAH,Lebanon
Ayser AL HYARI,Jordan
Avelino PALMA,Brazil
Javier ASBUN,Bolivia
Jean-Marie REPAIRE,Monaco
Irfan ADELBI,Jordan
Trevan CLOUGH,Papua New Guinea
Olegario FARRES,Paraguay
Osvaldo FARRES,Paraguay
Julio GONZALEZ SUVILLAGA,El Salvador
Ji-Cheng LIN,China
Chakrapan THIANTHONG,Thailand
Mario CLOPATOFSKY,Colombia
Hussam ABDUL RAHMAN,Jordan
Alfredo PELLICCIONI,San Marino
Vlado LISJAK,Yugoslavia
James Michael MARTINEZ,United States of America
Stefan NEGRISAN,Romania
Deitmar STREITLER,Austria
Shaban IBRAHIM,Egypt
Seiji NEMOTO,Japan
Yeun-Ik LEE,Republic of Korea
Antonios PAPADOPOULOS,Greece
Boris Adrian GOLDSTEIN,Argentina
Gerry SVENSSON,Sweden
Randall Scott LEWIS,United States of America
Jung-Keun LEE,Republic of Korea
Martin HERBSTER,Federal Republic of Germany
Antonio LA BRUNA,Italy
Robert ROBINSON,Canada
Carmelo FLORES,Puerto Rico
Pascal SEGNING,Cameroon
Jose INAGAKI,Peru
